objectid,filename,title,format,description,creator,date,subject,location,latitude,longitude,publisher-digital,source,identifier,rights,type,language
FaceOff,FaceOff.jpg,Face Off,Image/jpeg,"Emerson (Emmy) Hartwell has waited for a spot on an NHL roster since she became a professional hockey player, and this season, she’ll finally get a chance to showcase her talents with the struggling D.C. Stars.

Maverick Miller is the best player in the league, but he’s never had a winning record. Team captain and desperate to turn things around, he agrees to play nice with the fiery new left-winger even though they’re total opposites.

After a night where the tension between them reaches a tipping point and they fall in bed together, Emmy and Maverick vow it was only one time. Just once to get it out of their systems so they can play better and help their team.

It doesn’t mean anything. She doesn’t date hockey players. He’s a notorious playboy who doesn’t date. Period.

Except… what should’ve been just once happens again, then again. They tell each other their friends with benefits arrangement is only for the season, but despite facing off on the ice, behind closed doors, the pair is nothing but fire.","Curto, Chelsea",2024,Found Family; Forced Proximity; Enemies to Lovers,Washington D.C,38.8951,-77.0364,Amazon Digital Services,GoodReads,9781668263921,Chelsea Curto,Text,eng
TheDeal,TheDeal.jpg,The Deal,Image/jpeg,"She's about to make a deal with the college bad boy... Hannah Wells has finally found someone who turns her on. But while she might be confident in every other area of her life, she's carting around a full set of baggage when it comes to sex and seduction. If she wants to get her crush's attention, she'll have to step out of her comfort zone and make him take notice...even if it means tutoring the annoying, childish, cocky captain of the hockey team in exchange for a pretend date. ...and it's going to be oh so good!","Kennedy, Elle",2015,Friends to Lovers; Fake Dating,Massachusetts,42.4072,-71.3824,BloomBooks,GoodReads,9781775293934,Elle Kennedy,Text,eng
PuckingWrongNumber,PuckingWrongNumber.jpg,The Pucking Wrong Number,Image/jpeg,"One text to the wrong number…mine…and everything changed. He won’t tell me his last name, and maybe that should throw up a thousand red flags, but when I’m all alone in a new city and struggling to make ends meet, his texts are the lifeline I’ve been desperate for. But I never would have answered that text if I’d known that Lincoln Daniels, superstar hockey player extraordinaire was the one sending them. He’s trying to sweep me off my feet now. He says he’s obsessed. He wants me wearing his number…permanently. The question is…is he still the wrong number, or can this hockey god prove he’s Mr. Right?All Garrett Graham has ever wanted is to play professional hockey after graduation, but his plummeting GPA is threatening everything he's worked so hard for. If helping a sarcastic brunette make another guy jealous will help him secure his position on the team, he's all for it. But when one unexpected kiss leads to the wildest sex of both their lives, it doesn't take long for Garrett to realize that pretend isn't going to cut it. Now he just has to convince Hannah that the man she wants looks a lot like him.","Jane, C.R",2023,Dark Romance; Morally Grey; Forced Proximity,Dallas,32.7792,-96.8089,Podium Publishing,GoodReads,9781039486454,C.R. Jane,Text,eng
BehindTheNet,BehindTheNet.jpg,Behind The Net,Image/jpeg,"He's the hot, grumpy goalie I had a crush on in high school... and now I'm his live-in assistant.
After my ex crushed my dreams in the music industry, I’m done with getting my heart broken. Working as an assistant for an NHL player was supposed to be a breeze, but nothing about Jamie Streicher is easy. He’s an intimidatingly hot, grouchy jerk who can't stand me. The guy has a massive ego. Keeping things professional will be no problem, even when he demands I move in with him.
Beneath his surliness, though, Jamie’s surprisingly sweet and protective.
When Jamie learns how bad my ex was in bed, his competitive nature flares, and he encourages and spoils me in every way. The creative spark I used to feel about songwriting? It’s back, and I’m writing music again. Between wearing his jersey at games, rowdy parties with the team, and being brave on stage again, I’m falling for him.
He could break my heart, but it might be worth it.","Archer, Stephanie",2023,Grumpy/Sunshine; Forced Proximity; Slow Burn,Vancouver,49.2827,-123.1207,Silver Springs Press,GoodReads,9781398724259,Stephanie Archer,Text,eng
HeatedRivalry,HeatedRivalry.jpg,Heated Rivalry,image/jpeg,"Nothing interferes with Shane Hollander’s game—definitely not the sexy rival he loves to hate.

Pro hockey star Shane Hollander isn’t just crazy talented, he’s got a spotless reputation. Hockey is his life. Now that he’s captain of the Montreal Voyageurs, he won’t let anything jeopardize that, especially the sexy Russian whose hard body keeps him awake at night.

Boston Bears captain Ilya Rozanov is everything Shane’s not. The self-proclaimed king of the ice, he’s as cocky as he is talented. No one can beat him—except Shane. They’ve made a career on their legendary rivalry, but when the skates come off, the heat between them is undeniable. When Ilya realizes he wants more than a few secret hookups, he knows he must walk away. The risk is too great.

As their attraction intensifies, they struggle to keep their relationship out of the public eye. If the truth comes out, it could ruin them both. But when their need for each other rivals their ambition on the ice, secrecy is no longer an option.","Reid, Rachel",2019,Forbidden Romance; Enemies to Lovers; Forced Proximity,Ottawa,45.424721,-75.695,Carina Press,GoodReads,9781335534637,Rachel Reid,Text,eng
CockyScore,CockyScore.jpg,Cocky Score,image/jpeg,"What’s worse than being in a fake relationship with my childhood crush? When he's a notorious NHL party-boy and my brother’s best friend!

Being hired as the PR representative for the hockey team I’ve always been a fan of, should be a dream come true, especially because my old crush plays for them.

My suggestion to save Briggs's career is solid… have him fake date someone wholesome who can change his image. That’s when my big mouth gets in the way and I admit to being the-girl-next-door.

Now… my boss is offering me the promotion of a lifetime, but it comes with strings…

Fake date Briggs Conley!

Now I have to fix Briggs’ reputation, lie to our families, keep my MMA fighter brother from pummeling his best friend, and stop myself from falling further for my childhood crush, all while we're forced to live together and pretend to be madly in love in front of the cameras.

What could possibly go wrong?

How about when my brother ends up in our guest bedroom and I end up with a pro hockey player in my bed.","King, Kenna",2023,Forced Proximity; Fake Dating,Seattle,47.6062, -122.3321,Kenna King Books LLC,GoodReads,9798989802302,Kenna King,Text,eng
TheBoyfriendGoal,TheBoyfriendGoal.jpg,The Boyfriend Goal,image/jpeg,"A forbidden romance with my brother’s hockey-playing teammate wasn’t on my to-do list when I moved across the country.

Neither was getting locked out of a friend’s place wearing next to nothing.
Or spending the night with the sexy stranger who rescues me.
But I’m trying to get out of my comfort zone so getting out of the rest of my clothes with him seems like a good way to start.
In the morning, I learn the filthy-mouthed man with the talented hands is not only the hotshot new hockey player on my brother’s team: he’s also – wait for it – my brand new roommate.
I’m a good student turned good librarian. A rule-follower. I’m not the kind of girl who does complicated flings. So we agree to another rule: friends-only.
It’s not easy though. Wes is bossy, flirty and generous.
He gives me rides to work.
Pitches in at my library’s fundraiser.
Takes care of me when I get hurt.
And looks at me like I’m the only one.
Soon, I’m falling hard for my brother’s teammate.
Especially when Wes comes to my door and tells me exactly how he’d like to break our rules.
Every single one.","Blakely, Lauren",2024,Forced Proximity; Forbidden Romance; Friends to Lovers,San Francisco,37.773972,-122.431297,Lauren Blakely Books,GoodReads,9781964048079,Lauren Blakely,Text,eng
OGoalieNight,OGoalieNight.jpg,O' Goalie Night,image/jpeg,"Tis the season to be tempted.

All Beth Michaels wants for Christmas is a fresh start. A new job in a new city is her chance to finally break free from her overbearing yet well-meaning mother, not to mention her small-town notoriety as NHL superstar Ben Michaels' little sister. But her dream of independence hits an unexpected snag when a housing mishap leaves her with no choice but to move in with Ben's best friend and teammate, the broody (and gorgeous) Foster James.

As a top goalie, Foster has always been great at handling high-pressure decisions and sticking to the rules. But there is one rule he finds impossible to follow: don't fall for your best friend's sister. After years of being alone, resisting the sweet and funny Beth may be the toughest challenge he has ever faced.

The goal was to keep their relationship under wraps, but plans have a way of becoming tangled during the holidays.","Gillis, K.M",2024,Forbidden Romance; Friends to Lovers; Forced Proximity,Ottawa,45.424721,-75.695,Literary Lupin Publishing Inc,GoodReads,9781738361007,K. M. Gillis,Text,eng
MileHigh,MileHigh.jpg,Mile High,image/jpeg,"ZANDERS

Chicago hockey isn't complete without me - everyone's favourite player to hate. I know my role, and I play it well. In fact, I thoroughly enjoy spending the majority of my game time in the penalty box before leaving the arena with a new girl on my arm each night.

What I don't like is the new flight attendant on our team's private plane. She works for me, not the other way around. But I'll be sure to remind her of that, and I can guarantee, by the end of the season, she'll be begging to quit her job.

But every road trip blurs the lines, and I can't quite figure out if I keep pushing that flight attendant call button in order to push her buttons, or if it's more than that.

STEVIE

I've been a flight attendant for years. I thought I'd seen it all, but when my new job lands me onboard working for the most egotistical and self-righteous diva in the NHL, I start to second guess everything. Including the promise I made to myself of never hooking up with an athlete again . . . no matter how annoyingly tempting he may be.

Evan Zanders is unfiltered, unapologetic, and too attractive for his own good. He loves his image, but I hate everything about it.

Everything but him.","Tomforde, Liz",2022,Enemies to Lovers; Forbidden Romance; Forced Proximity,Chicago,41.881832,-87.623177,Hodder,GoodReads,9798446572199,Liz Tomforde,Text,eng
BreakOut,BreakOut.jpg,Break Out,image/jpeg,"Liam

That feeling you get skating across the ice, legs burning, adrenaline pumping. It’s unmatched. Much like my current stats.

Hockey has always been my sole focus, getting to the playoffs, winning the Stanley Cup—that’s my number one goal.

I won’t let the fact that I’ve just been traded to a new team derail my future. Nor will the daughter of the so-called King of Canada, aka my new boss. Aliyah, the gorgeous, feisty brunette who’s just been assigned as my official “babysitter.”

Although, when you're trapped in a room with a temptation like her, there’s only so much restraint one man can have.

I probably should have listened to the rumors about the owner of the Vancouver Knights being Canada’s most ruthless and feared mob boss. Because when he finds out what I’ve done with his daughter, it’s not just my career on the chopping block.

It’s my neck.

Both, I’m willing to risk. For her. To save her.



Aliyah

When your whole life is mapped out for you, choices aren’t a freedom you’re granted.

You do whatever it is you’re told to do.

So, when my father tells me he needs me to watch over one of his new recruits, even though spending all of my free time with a cocky-ass hockey player is the last thing I want to be doing, I agree.

Why?

Because nobody says no to Jacob Monroe and lives to tell the tale. Not even me.

I mean, how hard can it be? It’s one guy. A hockey player.

Liam King. An athlete with a physique carved out of stone, and a smirk that not only melts my panties off but sets my whole body on fire.

An inferno I can’t help but give in to and a desire I can’t help but feed.

He’s not part of the plan. He’s temporary. Dropping in and passing by. I just need to get my heart to understand that I can’t keep him.

No matter how much I might want to.","Kent, Kylie",2023,Enemies to Lovers; Dark Romance; Forced Proximity,Vancouver,49.2827,-123.1207,Kylie Kent,GoodReads,9781922816917,Kylie Kent,Text,eng
